"Subject","Block","Condition","Item","Acc","RT","Target","cloze","age","frequency"
102,205,"Sem","D093",0,749,"CLAQUE",23,22,11.49
102,206,"Morph","D022",1,989,"BOUFFE",23,22,5.61
102,208,"ID","D134",1,657,"PLONGE",23,22,12.91
102,209,"Orth","D046",1,574,"BOULE",23,22,0.61
102,210,"Sem","D103",1,638,"PRIE",23,22,44.19
102,211,"ID","D119",1,880,"DOUTE",23,22,20
102,218,"Orth","D038",0,978,"DUPE",23,22,0.27
102,220,"ID","D138",1,620,"PRÉPARE",23,22,19.59
102,221,"ID","D120",1,1149,"CRÈVE",23,22,10.14
102,223,"Morph","D004",1,633,"CITE",23,22,4.8
102,228,"Orth","D049",1,1494,"ÉVITE",23,22,6.35
102,229,"Orth","D039",0,664,"FIGE",23,22,12.64
102,230,"Sem","D099",1,706,"OUBLIE",23,22,34.66
102,233,"Orth","D045",1,631,"BOUGE",23,22,30.88
102,234,"Orth","D053",1,595,"MANGE",23,22,31.96
102,235,"ID","D115",1,859,"PÈSE",23,22,13.18
102,237,"Morph","D002",1,586,"TUE",23,22,16.96
102,239,"Orth","D071",1,508,"EXPLORE",23,22,0.68
102,240,"Morph","D001",1,719,"OSE",23,22,28.51
102,241,"Sem","D076",1,810,"HURLE",23,22,18.24
102,243,"ID","D112",1,707,"DURE",23,22,19.05
102,245,"ID","D132",1,694,"MANQUE",23,22,41.49
102,247,"Orth","D070",1,789,"TRAITE",23,22,8.11
102,248,"Morph","D012",1,681,"ENTRE",23,22,58.78
102,249,"Morph","D003",1,663,"ARME",23,22,1.15
102,250,"ID","D118",1,560,"TÂCHE",23,22,3.58
102,254,"Sem","D104",1,594,"TOUCHE",23,22,29.26
102,255,"Sem","D091",1,651,"TROMPE",23,22,15.41
102,258,"Morph","D035",1,671,"FROTTE",23,22,8.58
102,260,"Sem","D102",1,590,"QUITTE",23,22,32.03
102,262,"Sem","D082",0,658,"GRIMPE",23,22,8.18
102,263,"Orth","D037",1,656,"AIME",23,22,257.57
102,264,"Sem","D098",1,757,"NOTE",23,22,8.72
102,265,"Morph","D027",1,833,"PLEURE",23,22,24.93
102,266,"Orth","D043",1,1622,"RASE",23,22,2.64
102,267,"ID","D128",1,598,"RESTE",23,22,153.99
102,268,"Morph","D018",1,718,"SIGNE",23,22,7.57
102,270,"Orth","D052",0,748,"LANGE",23,22,0.001
102,271,"Orth","D057",1,651,"ÉGALE",23,22,1.22
102,272,"ID","D122",1,545,"TOMBE",23,22,60.27
102,274,"ID","D125",1,605,"TRACE",23,22,5.54
102,275,"Orth","D054",1,553,"MONTE",23,22,70.34
102,279,"Sem","D094",1,804,"COLLE",23,22,12.77
102,280,"Morph","D005",0,976,"ERRE",23,22,2.64
102,281,"Sem","D079",1,552,"ACCEPTE",23,22,18.65
102,282,"ID","D140",1,608,"OBSERVE",23,22,16.69
102,286,"Orth","D050",1,609,"FERME",23,22,28.38
102,288,"Morph","D036",1,586,"EXPRIME",23,22,10.34
102,290,"Morph","D025",0,488,"POSE",23,22,48.85
102,291,"ID","D143",1,746,"RETOURNE",23,22,50.54
102,292,"Morph","D033",1,690,"CHERCHE",23,22,66.69
102,295,"ID","D123",1,602,"SONNE",23,22,16.82
102,296,"Morph","D034",1,546,"ÉCHAPPE",23,22,18.65
102,298,"Sem","D080",1,592,"DONNE",23,22,149.26
103,15,"Orth","D062",1,839,"SOUDE",23,19,0.27
103,16,"Sem","D086",1,1808,"REFUSE",23,19,24.19
103,18,"Morph","D016",1,881,"PENSE",23,19,178.04
103,19,"Morph","D020",1,743,"AJOUTE",23,19,29.19
103,20,"Orth","D037",1,546,"AIME",23,19,257.57
103,21,"ID","D138",1,2362,"PRÉPARE",23,19,19.59
103,22,"Morph","D033",1,765,"CHERCHE",23,19,66.69
103,25,"Sem","D088",0,1393,"RINCE",23,19,2.03
103,26,"Morph","D017",1,2184,"SERRE",23,19,27.36
103,28,"Morph","D010",1,714,"CASSE",23,19,17.03
103,31,"Sem","D090",1,1133,"TREMBLE",23,19,14.59
103,35,"Sem","D082",0,947,"GRIMPE",23,19,8.18
103,36,"ID","D120",1,970,"CRÈVE",23,19,10.14
103,37,"Orth","D063",1,866,"BRASE",23,19,0.001
103,38,"Orth","D065",0,1156,"ARROGE",23,19,0.14
103,39,"ID","D122",1,668,"TOMBE",23,19,60.27
103,41,"Morph","D034",1,1062,"ÉCHAPPE",23,19,18.65
103,46,"Orth","D064",1,730,"ARRIVE",23,19,164.12
